Postcode;Plaatsnaam;Gemeentecode;Gemeente;Provinciecode;Provincie;Zorgkantoorcode;Zorgkantoor;Rechtspersoon
5541;REUSEL            ;1667;REUSEL-DE MIERDEN       ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5550;VALKENSWAARD      ;858;VALKENSWAARD            ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5551;VALKENSWAARD      ;858;VALKENSWAARD            ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5552;VALKENSWAARD      ;858;VALKENSWAARD            ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5553;VALKENSWAARD      ;858;VALKENSWAARD            ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5554;VALKENSWAARD      ;858;VALKENSWAARD            ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5555;VALKENSWAARD      ;858;VALKENSWAARD            ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5556;VALKENSWAARD      ;858;VALKENSWAARD            ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5560;RIETHOVEN         ;1724;BERGEIJK                ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5561;RIETHOVEN         ;1724;BERGEIJK                ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5563;WESTERHOVEN       ;1724;BERGEIJK                ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5570;BERGEYK           ;1724;BERGEIJK                ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5571;BERGEYK           ;1724;BERGEIJK                ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5575;LUYKSGESTEL       ;1724;BERGEIJK                ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5580;WAALRE            ;866;WAALRE                  ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5581;WAALRE            ;866;WAALRE                  ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5582;WAALRE            ;866;WAALRE                  ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5583;WAALRE            ;866;WAALRE                  ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5590;HEEZE             ;1658;HEEZE-LEENDE            ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5591;HEEZE             ;1658;HEEZE-LEENDE            ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5595;LEENDE            ;1658;HEEZE-LEENDE            ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5600;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5601;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5602;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5603;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5604;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5605;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5611;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5612;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5613;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5614;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5615;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5616;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5617;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5621;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5622;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5623;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5624;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5625;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5626;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5627;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5628;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5629;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
