Postcode;Plaatsnaam;Gemeentecode;Gemeente;Provinciecode;Provincie;Zorgkantoorcode;Zorgkantoor;Rechtspersoon
5013;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5014;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5015;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5017;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5018;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5021;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5022;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5025;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5026;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5032;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5035;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5036;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5037;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5038;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5041;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5042;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5043;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5044;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5045;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5046;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5047;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5048;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
5049;TILBURG           ;855;TILBURG                 ;P;Noord-Brabant;5527;MIDDEN-BRABANT;UVIT
